"location","date","age_group","target","value","population"
"49","2023-09-30","0.5-0.99","rate hosp",0,23339.5
"49","2023-09-30","0.5-0.99","inc hosp",0,23339.5
"49","2023-09-23","0.5-0.99","rate hosp",0,23339.5
"49","2023-09-23","0.5-0.99","inc hosp",0,23339.5
"49","2023-09-16","0.5-0.99","rate hosp",13,23339.5
"49","2023-09-16","0.5-0.99","inc hosp",3.034135,23339.5
"49","2023-09-09","0.5-0.99","rate hosp",0,23339.5
"49","2023-09-09","0.5-0.99","inc hosp",0,23339.5
"49","2023-09-02","0.5-0.99","rate hosp",13,23339.5
"49","2023-09-02","0.5-0.99","inc hosp",3.034135,23339.5
"49","2023-08-26","0.5-0.99","rate hosp",0,23339.5
"49","2023-08-26","0.5-0.99","inc hosp",0,23339.5
"49","2023-08-19","0.5-0.99","rate hosp",13,23339.5
"49","2023-08-19","0.5-0.99","inc hosp",3.034135,23339.5
"49","2023-08-12","0.5-0.99","rate hosp",0,23339.5
"49","2023-08-12","0.5-0.99","inc hosp",0,23339.5
"49","2023-08-05","0.5-0.99","rate hosp",0,23339.5
"49","2023-08-05","0.5-0.99","inc hosp",0,23339.5
"49","2023-07-29","0.5-0.99","rate hosp",0,23339.5
"49","2023-07-29","0.5-0.99","inc hosp",0,23339.5
"49","2023-07-22","0.5-0.99","rate hosp",0,23339.5
"49","2023-07-22","0.5-0.99","inc hosp",0,23339.5
"49","2023-07-15","0.5-0.99","rate hosp",0,23339.5
"49","2023-07-15","0.5-0.99","inc hosp",0,23339.5
"49","2023-07-08","0.5-0.99","rate hosp",0,23339.5
"49","2023-07-08","0.5-0.99","inc hosp",0,23339.5
"49","2023-07-01","0.5-0.99","rate hosp",0,23339.5
"49","2023-07-01","0.5-0.99","inc hosp",0,23339.5
"49","2023-06-24","0.5-0.99","rate hosp",0,23339.5
"49","2023-06-24","0.5-0.99","inc hosp",0,23339.5
"49","2023-06-17","0.5-0.99","rate hosp",13,23339.5
"49","2023-06-17","0.5-0.99","inc hosp",3.034135,23339.5
"49","2023-06-10","0.5-0.99","rate hosp",0,23339.5
"49","2023-06-10","0.5-0.99","inc hosp",0,23339.5
"49","2023-06-03","0.5-0.99","rate hosp",0,23339.5
"49","2023-06-03","0.5-0.99","inc hosp",0,23339.5
"49","2023-05-27","0.5-0.99","rate hosp",0,23339.5
"49","2023-05-27","0.5-0.99","inc hosp",0,23339.5
"49","2023-05-20","0.5-0.99","rate hosp",0,23339.5
"49","2023-05-20","0.5-0.99","inc hosp",0,23339.5
"49","2023-05-13","0.5-0.99","rate hosp",0,23339.5
"49","2023-05-13","0.5-0.99","inc hosp",0,23339.5
"49","2023-05-06","0.5-0.99","rate hosp",0,23339.5
"49","2023-05-06","0.5-0.99","inc hosp",0,23339.5
"49","2023-04-29","0.5-0.99","rate hosp",0,23339.5
"49","2023-04-29","0.5-0.99","inc hosp",0,23339.5
"49","2023-04-22","0.5-0.99","rate hosp",0,23339.5
"49","2023-04-22","0.5-0.99","inc hosp",0,23339.5
"49","2023-04-15","0.5-0.99","rate hosp",0,23339.5
"49","2023-04-15","0.5-0.99","inc hosp",0,23339.5
"49","2023-04-08","0.5-0.99","rate hosp",0,23339.5
"49","2023-04-08","0.5-0.99","inc hosp",0,23339.5
"49","2023-04-01","0.5-0.99","rate hosp",0,23339.5
"49","2023-04-01","0.5-0.99","inc hosp",0,23339.5
"49","2023-03-25","0.5-0.99","rate hosp",26,23339.5
"49","2023-03-25","0.5-0.99","inc hosp",6.06827,23339.5
"49","2023-03-18","0.5-0.99","rate hosp",0,23339.5
"49","2023-03-18","0.5-0.99","inc hosp",0,23339.5
"49","2023-03-11","0.5-0.99","rate hosp",0,23339.5
"49","2023-03-11","0.5-0.99","inc hosp",0,23339.5
"49","2023-03-04","0.5-0.99","rate hosp",13,23339.5
"49","2023-03-04","0.5-0.99","inc hosp",3.034135,23339.5
"49","2023-02-25","0.5-0.99","rate hosp",0,23339.5
"49","2023-02-25","0.5-0.99","inc hosp",0,23339.5
"49","2023-02-18","0.5-0.99","rate hosp",13,23339.5
"49","2023-02-18","0.5-0.99","inc hosp",3.034135,23339.5
"49","2023-02-11","0.5-0.99","rate hosp",0,23339.5
"49","2023-02-11","0.5-0.99","inc hosp",0,23339.5
"49","2023-02-04","0.5-0.99","rate hosp",13,23339.5
"49","2023-02-04","0.5-0.99","inc hosp",3.034135,23339.5
"49","2023-01-28","0.5-0.99","rate hosp",26,23339.5
"49","2023-01-28","0.5-0.99","inc hosp",6.06827,23339.5
"49","2023-01-21","0.5-0.99","rate hosp",26,23339.5
"49","2023-01-21","0.5-0.99","inc hosp",6.06827,23339.5
"49","2023-01-14","0.5-0.99","rate hosp",39,23339.5
"49","2023-01-14","0.5-0.99","inc hosp",9.102405,23339.5
"49","2023-01-07","0.5-0.99","rate hosp",26,23339.5
"49","2023-01-07","0.5-0.99","inc hosp",6.06827,23339.5
"49","2022-12-31","0.5-0.99","rate hosp",78,23339.5
"49","2022-12-31","0.5-0.99","inc hosp",18.20481,23339.5
"49","2022-12-24","0.5-0.99","rate hosp",13,23339.5
"49","2022-12-24","0.5-0.99","inc hosp",3.034135,23339.5
"49","2022-12-17","0.5-0.99","rate hosp",142.9,23339.5
"49","2022-12-17","0.5-0.99","inc hosp",33.3521455,23339.5
"49","2022-12-10","0.5-0.99","rate hosp",181.9,23339.5
"49","2022-12-10","0.5-0.99","inc hosp",42.4545505,23339.5
"49","2022-12-03","0.5-0.99","rate hosp",155.9,23339.5
"49","2022-12-03","0.5-0.99","inc hosp",36.3862805,23339.5
"49","2022-11-26","0.5-0.99","rate hosp",168.9,23339.5
"49","2022-11-26","0.5-0.99","inc hosp",39.4204155,23339.5
"49","2022-11-19","0.5-0.99","rate hosp",129.9,23339.5
"49","2022-11-19","0.5-0.99","inc hosp",30.3180105,23339.5
"49","2022-11-12","0.5-0.99","rate hosp",52,23339.5
"49","2022-11-12","0.5-0.99","inc hosp",12.13654,23339.5
"49","2022-11-05","0.5-0.99","rate hosp",90.9,23339.5
"49","2022-11-05","0.5-0.99","inc hosp",21.2156055,23339.5
"49","2022-10-29","0.5-0.99","rate hosp",78,23339.5
"49","2022-10-29","0.5-0.99","inc hosp",18.20481,23339.5
"49","2022-10-22","0.5-0.99","rate hosp",26,23339.5
"49","2022-10-22","0.5-0.99","inc hosp",6.06827,23339.5
"49","2022-10-15","0.5-0.99","rate hosp",0,23339.5
"49","2022-10-15","0.5-0.99","inc hosp",0,23339.5
"49","2022-10-08","0.5-0.99","rate hosp",0,23339.5
"49","2022-10-08","0.5-0.99","inc hosp",0,23339.5
"47","2023-09-30","0.5-0.99","rate hosp",0,40730
"47","2023-09-30","0.5-0.99","inc hosp",0,40730
"47","2023-09-23","0.5-0.99","rate hosp",26.5,40730
"47","2023-09-23","0.5-0.99","inc hosp",10.79345,40730
"47","2023-09-16","0.5-0.99","rate hosp",0,40730
"47","2023-09-16","0.5-0.99","inc hosp",0,40730
"47","2023-09-09","0.5-0.99","rate hosp",8.8,40730
"47","2023-09-09","0.5-0.99","inc hosp",3.58424,40730
"47","2023-09-02","0.5-0.99","rate hosp",0,40730
"47","2023-09-02","0.5-0.99","inc hosp",0,40730
"47","2023-08-26","0.5-0.99","rate hosp",0,40730
"47","2023-08-26","0.5-0.99","inc hosp",0,40730
"47","2023-08-19","0.5-0.99","rate hosp",17.6,40730
"47","2023-08-19","0.5-0.99","inc hosp",7.16848,40730
"47","2023-08-12","0.5-0.99","rate hosp",0,40730
"47","2023-08-12","0.5-0.99","inc hosp",0,40730
"47","2023-08-05","0.5-0.99","rate hosp",0,40730
"47","2023-08-05","0.5-0.99","inc hosp",0,40730
"47","2023-07-29","0.5-0.99","rate hosp",0,40730
"47","2023-07-29","0.5-0.99","inc hosp",0,40730
"47","2023-07-22","0.5-0.99","rate hosp",0,40730
"47","2023-07-22","0.5-0.99","inc hosp",0,40730
"47","2023-07-15","0.5-0.99","rate hosp",0,40730
"47","2023-07-15","0.5-0.99","inc hosp",0,40730
"47","2023-07-08","0.5-0.99","rate hosp",0,40730
"47","2023-07-08","0.5-0.99","inc hosp",0,40730
"47","2023-07-01","0.5-0.99","rate hosp",0,40730
"47","2023-07-01","0.5-0.99","inc hosp",0,40730
"47","2023-06-24","0.5-0.99","rate hosp",0,40730
"47","2023-06-24","0.5-0.99","inc hosp",0,40730
"47","2023-06-17","0.5-0.99","rate hosp",0,40730
"47","2023-06-17","0.5-0.99","inc hosp",0,40730
"47","2023-06-10","0.5-0.99","rate hosp",8.8,40730
"47","2023-06-10","0.5-0.99","inc hosp",3.58424,40730
"47","2023-06-03","0.5-0.99","rate hosp",8.8,40730
"47","2023-06-03","0.5-0.99","inc hosp",3.58424,40730
"47","2023-05-27","0.5-0.99","rate hosp",0,40730
"47","2023-05-27","0.5-0.99","inc hosp",0,40730
"47","2023-05-20","0.5-0.99","rate hosp",0,40730
"47","2023-05-20","0.5-0.99","inc hosp",0,40730
"47","2023-05-13","0.5-0.99","rate hosp",0,40730
"47","2023-05-13","0.5-0.99","inc hosp",0,40730
"47","2023-05-06","0.5-0.99","rate hosp",0,40730
"47","2023-05-06","0.5-0.99","inc hosp",0,40730
"47","2023-04-29","0.5-0.99","rate hosp",8.8,40730
"47","2023-04-29","0.5-0.99","inc hosp",3.58424,40730
"47","2023-04-22","0.5-0.99","rate hosp",0,40730
"47","2023-04-22","0.5-0.99","inc hosp",0,40730
"47","2023-04-15","0.5-0.99","rate hosp",0,40730
"47","2023-04-15","0.5-0.99","inc hosp",0,40730
"47","2023-04-08","0.5-0.99","rate hosp",0,40730
"47","2023-04-08","0.5-0.99","inc hosp",0,40730
"47","2023-04-01","0.5-0.99","rate hosp",0,40730
"47","2023-04-01","0.5-0.99","inc hosp",0,40730
"47","2023-03-25","0.5-0.99","rate hosp",8.8,40730
"47","2023-03-25","0.5-0.99","inc hosp",3.58424,40730
"47","2023-03-18","0.5-0.99","rate hosp",0,40730
"47","2023-03-18","0.5-0.99","inc hosp",0,40730
"47","2023-03-11","0.5-0.99","rate hosp",0,40730
"47","2023-03-11","0.5-0.99","inc hosp",0,40730
"47","2023-03-04","0.5-0.99","rate hosp",0,40730
"47","2023-03-04","0.5-0.99","inc hosp",0,40730
"47","2023-02-25","0.5-0.99","rate hosp",0,40730
"47","2023-02-25","0.5-0.99","inc hosp",0,40730
"47","2023-02-18","0.5-0.99","rate hosp",0,40730
"47","2023-02-18","0.5-0.99","inc hosp",0,40730
"47","2023-02-11","0.5-0.99","rate hosp",0,40730
"47","2023-02-11","0.5-0.99","inc hosp",0,40730
"47","2023-02-04","0.5-0.99","rate hosp",8.8,40730
"47","2023-02-04","0.5-0.99","inc hosp",3.58424,40730
"47","2023-01-28","0.5-0.99","rate hosp",0,40730
"47","2023-01-28","0.5-0.99","inc hosp",0,40730
"47","2023-01-21","0.5-0.99","rate hosp",26.5,40730
"47","2023-01-21","0.5-0.99","inc hosp",10.79345,40730
"47","2023-01-14","0.5-0.99","rate hosp",0,40730
"47","2023-01-14","0.5-0.99","inc hosp",0,40730
"47","2023-01-07","0.5-0.99","rate hosp",0,40730
"47","2023-01-07","0.5-0.99","inc hosp",0,40730
"47","2022-12-31","0.5-0.99","rate hosp",0,40730
"47","2022-12-31","0.5-0.99","inc hosp",0,40730
"47","2022-12-24","0.5-0.99","rate hosp",26.5,40730
"47","2022-12-24","0.5-0.99","inc hosp",10.79345,40730
"47","2022-12-17","0.5-0.99","rate hosp",8.8,40730
"47","2022-12-17","0.5-0.99","inc hosp",3.58424,40730
"47","2022-12-10","0.5-0.99","rate hosp",17.6,40730
"47","2022-12-10","0.5-0.99","inc hosp",7.16848,40730
"47","2022-12-03","0.5-0.99","rate hosp",17.6,40730
"47","2022-12-03","0.5-0.99","inc hosp",7.16848,40730
"47","2022-11-26","0.5-0.99","rate hosp",17.6,40730
"47","2022-11-26","0.5-0.99","inc hosp",7.16848,40730
"47","2022-11-19","0.5-0.99","rate hosp",8.8,40730
"47","2022-11-19","0.5-0.99","inc hosp",3.58424,40730
"47","2022-11-12","0.5-0.99","rate hosp",8.8,40730
"47","2022-11-12","0.5-0.99","inc hosp",3.58424,40730
"47","2022-11-05","0.5-0.99","rate hosp",26.5,40730
"47","2022-11-05","0.5-0.99","inc hosp",10.79345,40730
"47","2022-10-29","0.5-0.99","rate hosp",52.9,40730
"47","2022-10-29","0.5-0.99","inc hosp",21.54617,40730
"47","2022-10-22","0.5-0.99","rate hosp",70.6,40730
"47","2022-10-22","0.5-0.99","inc hosp",28.75538,40730
"47","2022-10-15","0.5-0.99","rate hosp",44.1,40730
